Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,SRA Study,Ecotype,Library Name,Alias,Broker_name,ENA_CHECKLIST,ENA-FIRST-PUBLIC (run),ENA-LAST-UPDATE (run),growth_condition,INSDC_center_name,INSDC_first_public,INSDC_last_update,INSDC_status,organism_part,organism,replicate,sample_name,sampling_time_point,SRA_accession,title,Age,GEO_Accession (exp),source_name,infect,tissue,ecotype_background,harvest_time_after_treatment,treated_with,Description,BioSampleModel,genotype/variation,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,treatment,agent
ERR1406261,RNA-Seq,101,3116187744,PRJEB13938,SAMEA3960026,2272770285,Functional Genomics Center Zurich,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERX1477497,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2016-06-06T00:00:00Z,SAMEA3960026,ERP015521,Col-0,Sample 11,E-MTAB-4683:Sample 11,ArrayExpress,ERC000011,2016-06-05,2018-11-16,10 mM MgCl2,Institute of Microbiology ETH Zurich,2016-06-05T17:01:42Z,2016-05-09T16:55:37Z,public,rosette leaf,Arabidopsis thaliana,3,ERS1147160,2,ERS1147160,Sample 11,,,,Pseudomonas syringae DC3001,,,,,,,,,,,,
ERR1406262,RNA-Seq,101,3340044144,PRJEB13938,SAMEA3960027,2415716518,Functional Genomics Center Zurich,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERX1477498,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2016-06-06T00:00:00Z,SAMEA3960027,ERP015521,Col-0,Sample 12,E-MTAB-4683:Sample 12,ArrayExpress,ERC000011,2016-06-05,2018-11-16,10 mM MgCl2,Institute of Microbiology ETH Zurich,2016-06-05T17:01:42Z,2016-05-09T16:55:37Z,public,rosette leaf,Arabidopsis thaliana,4,ERS1147161,2,ERS1147161,Sample 12,,,,Pseudomonas syringae DC3002,,,,,,,,,,,,
ERR1406263,RNA-Seq,101,2591482846,PRJEB13938,SAMEA3960028,1891737438,Functional Genomics Center Zurich,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERX1477499,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2016-06-06T00:00:00Z,SAMEA3960028,ERP015521,Col-0,Sample 13,E-MTAB-4683:Sample 13,ArrayExpress,ERC000011,2016-06-05,2018-11-16,10 mM MgCl2,Institute of Microbiology ETH Zurich,2016-06-05T17:01:42Z,2016-05-09T16:55:37Z,public,rosette leaf,Arabidopsis thaliana,1,ERS1147162,7,ERS1147162,Sample 13,,,,Pseudomonas syringae DC3003,,,,,,,,,,,,
ERR1406264,RNA-Seq,101,3376595640,PRJEB13938,SAMEA3960029,2465037331,Functional Genomics Center Zurich,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERX1477500,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2016-06-06T00:00:00Z,SAMEA3960029,ERP015521,Col-0,Sample 14,E-MTAB-4683:Sample 14,ArrayExpress,ERC000011,2016-06-05,2018-11-16,10 mM MgCl2,Institute of Microbiology ETH Zurich,2016-06-05T17:01:42Z,2016-05-09T16:55:38Z,public,rosette leaf,Arabidopsis thaliana,2,ERS1147163,7,ERS1147163,Sample 14,,,,Pseudomonas syringae DC3004,,,,,,,,,,,,
ERR1406265,RNA-Seq,101,3064758948,PRJEB13938,SAMEA3960030,2254445727,Functional Genomics Center Zurich,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERX1477501,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2016-06-06T00:00:00Z,SAMEA3960030,ERP015521,Col-0,Sample 15,E-MTAB-4683:Sample 15,ArrayExpress,ERC000011,2016-06-05,2018-11-16,10 mM MgCl2,Institute of Microbiology ETH Zurich,2016-06-05T17:01:42Z,2016-05-09T16:55:38Z,public,rosette leaf,Arabidopsis thaliana,3,ERS1147164,7,ERS1147164,Sample 15,,,,Pseudomonas syringae DC3005,,,,,"Protocols: Arabidopsis thaliana Col-0 were grown in a gnotobiotic microbox system as described in Innerebner et al. 2011. Briefly\, microboxes containing 70 ml MS medium including vitamins (Duchefa) supplemented with 3% sucrose and 0.55% plant agar (Duc...",,,,,,,
ERR1406266,RNA-Seq,101,2865822985,PRJEB13938,SAMEA3960031,2041224708,Functional Genomics Center Zurich,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERX1477503,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2016-06-06T00:00:00Z,SAMEA3960031,ERP015521,Col-0,Sample 16,E-MTAB-4683:Sample 16,ArrayExpress,ERC000011,2016-06-05,2018-11-16,10 mM MgCl2,Institute of Microbiology ETH Zurich,2016-06-05T17:01:42Z,2016-05-09T16:55:38Z,public,rosette leaf,Arabidopsis thaliana,4,ERS1147165,7,ERS1147165,Sample 16,,,,Pseudomonas syringae DC3006,,,,,,,,,,,,
ERR1406268,RNA-Seq,101,3071042360,PRJEB13938,SAMEA3960032,2190080677,Functional Genomics Center Zurich,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERX1477504,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2016-06-06T00:00:00Z,SAMEA3960032,ERP015521,Col-0,Sample 17,E-MTAB-4683:Sample 17,ArrayExpress,ERC000011,2016-06-05,2018-11-16,Sphingomonas melonis Fr1 colonization,Institute of Microbiology ETH Zurich,2016-06-05T17:01:42Z,2016-05-09T16:55:39Z,public,rosette leaf,Arabidopsis thaliana,1,ERS1147166,2,ERS1147166,Sample 17,,,,,,,,,,,,,,,,
ERR1406269,RNA-Seq,101,3071438078,PRJEB13938,SAMEA3960033,2205408805,Functional Genomics Center Zurich,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERX1477505,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2016-06-06T00:00:00Z,SAMEA3960033,ERP015521,Col-0,Sample 18,E-MTAB-4683:Sample 18,ArrayExpress,ERC000011,2016-06-05,2018-11-16,Sphingomonas melonis Fr1 colonization,Institute of Microbiology ETH Zurich,2016-06-05T17:01:42Z,2016-05-09T16:55:39Z,public,rosette leaf,Arabidopsis thaliana,2,ERS1147167,2,ERS1147167,Sample 18,,,,,,,,,,,,,,,,
ERR1406270,RNA-Seq,101,3205980279,PRJEB13938,SAMEA3960034,2336914290,Functional Genomics Center Zurich,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERX1477506,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2016-06-06T00:00:00Z,SAMEA3960034,ERP015521,Col-0,Sample 19,E-MTAB-4683:Sample 19,ArrayExpress,ERC000011,2016-06-05,2018-11-16,Sphingomonas melonis Fr1 colonization,Institute of Microbiology ETH Zurich,2016-06-05T17:01:42Z,2016-05-09T16:55:39Z,public,rosette leaf,Arabidopsis thaliana,3,ERS1147168,2,ERS1147168,Sample 19,,,,,,,,,,,,,,,,
ERR1406271,RNA-Seq,101,3029869306,PRJEB13938,SAMEA3960035,2179303685,Functional Genomics Center Zurich,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERX1477507,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2016-06-06T00:00:00Z,SAMEA3960035,ERP015521,Col-0,Sample 2,E-MTAB-4683:Sample 2,ArrayExpress,ERC000011,2016-06-05,2018-11-16,10 mM MgCl2,Institute of Microbiology ETH Zurich,2016-06-05T17:01:42Z,2016-05-09T16:55:39Z,public,rosette leaf,Arabidopsis thaliana,2,ERS1147169,2,ERS1147169,Sample 2,,,,,,,,,,,,,,,,
ERR1406272,RNA-Seq,101,4529647697,PRJEB13938,SAMEA3960037,3315378421,Functional Genomics Center Zurich,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERX1477508,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2016-06-06T00:00:00Z,SAMEA3960037,ERP015521,Col-0,Sample 20,E-MTAB-4683:Sample 20,ArrayExpress,ERC000011,2016-06-05,2018-11-16,Sphingomonas melonis Fr1 colonization,Institute of Microbiology ETH Zurich,2016-06-05T17:01:42Z,2016-05-09T16:55:39Z,public,rosette leaf,Arabidopsis thaliana,4,ERS1147171,2,ERS1147171,Sample 20,,,,,,,,,,,,,,,,
ERR1406273,RNA-Seq,101,3285294367,PRJEB13938,SAMEA3960038,2385978657,Functional Genomics Center Zurich,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERX1477509,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2016-06-06T00:00:00Z,SAMEA3960038,ERP015521,Col-0,Sample 21,E-MTAB-4683:Sample 21,ArrayExpress,ERC000011,2016-06-05,2018-11-16,Sphingomonas melonis Fr1 colonization,Institute of Microbiology ETH Zurich,2016-06-05T17:01:42Z,2016-05-09T16:55:39Z,public,rosette leaf,Arabidopsis thaliana,1,ERS1147172,7,ERS1147172,Sample 21,,,,,,,,,,,,,,,,
ERR1406274,RNA-Seq,101,2101077649,PRJEB13938,SAMEA3960039,1537000252,Functional Genomics Center Zurich,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERX1477510,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2016-06-06T00:00:00Z,SAMEA3960039,ERP015521,Col-0,Sample 22,E-MTAB-4683:Sample 22,ArrayExpress,ERC000011,2016-06-05,2018-11-16,Sphingomonas melonis Fr1 colonization,Institute of Microbiology ETH Zurich,2016-06-05T17:01:42Z,2016-05-09T16:55:40Z,public,rosette leaf,Arabidopsis thaliana,2,ERS1147173,7,ERS1147173,Sample 22,,,,,,,,,,,,,,,,
ERR1406275,RNA-Seq,101,3201570417,PRJEB13938,SAMEA3960040,2285313010,Functional Genomics Center Zurich,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERX1477511,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2016-06-06T00:00:00Z,SAMEA3960040,ERP015521,Col-0,Sample 23,E-MTAB-4683:Sample 23,ArrayExpress,ERC000011,2016-06-05,2018-11-16,Sphingomonas melonis Fr1 colonization,Institute of Microbiology ETH Zurich,2016-06-05T17:01:42Z,2016-05-09T16:55:40Z,public,rosette leaf,Arabidopsis thaliana,3,ERS1147174,7,ERS1147174,Sample 23,,,,,,,,,"Protocols: Arabidopsis thaliana Col-0 were grown in a gnotobiotic microbox system as described in Innerebner et al. 2011. Briefly\, microboxes containing 70 ml MS medium including vitamins (Duchefa) supplemented with 3% sucrose and 0.55% plant agar (Duc...",,,,,,,
ERR1406276,RNA-Seq,101,2597378721,PRJEB13938,SAMEA3960041,1863506959,Functional Genomics Center Zurich,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERX1477512,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2016-06-06T00:00:00Z,SAMEA3960041,ERP015521,Col-0,Sample 24,E-MTAB-4683:Sample 24,ArrayExpress,ERC000011,2016-06-05,2018-11-16,Sphingomonas melonis Fr1 colonization,Institute of Microbiology ETH Zurich,2016-06-05T17:01:42Z,2016-05-09T16:55:40Z,public,rosette leaf,Arabidopsis thaliana,4,ERS1147175,7,ERS1147175,Sample 24,,,,,,,,,"Protocols: Arabidopsis thaliana Col-0 were grown in a gnotobiotic microbox system as described in Innerebner et al. 2011. Briefly\, microboxes containing 70 ml MS medium including vitamins (Duchefa) supplemented with 3% sucrose and 0.55% plant agar (Duc...",,,,,,,
ERR1406277,RNA-Seq,101,3289079544,PRJEB13938,SAMEA3960042,2355677166,Functional Genomics Center Zurich,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERX1477513,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2016-06-06T00:00:00Z,SAMEA3960042,ERP015521,Col-0,Sample 25,E-MTAB-4683:Sample 25,ArrayExpress,ERC000011,2016-06-05,2018-11-16,Sphingomonas melonis Fr1 colonization,Institute of Microbiology ETH Zurich,2016-06-05T17:01:42Z,2016-05-09T16:55:40Z,public,rosette leaf,Arabidopsis thaliana,1,ERS1147176,2,ERS1147176,Sample 25,,,,Pseudomonas syringae DC3000,,,,,,,,,,,,
ERR1406278,RNA-Seq,101,2677968439,PRJEB13938,SAMEA3960043,1906959088,Functional Genomics Center Zurich,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERX1477514,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2016-06-06T00:00:00Z,SAMEA3960043,ERP015521,Col-0,Sample 26,E-MTAB-4683:Sample 26,ArrayExpress,ERC000011,2016-06-05,2018-11-16,Sphingomonas melonis Fr1 colonization,Institute of Microbiology ETH Zurich,2016-06-05T17:01:42Z,2016-05-09T16:55:40Z,public,rosette leaf,Arabidopsis thaliana,2,ERS1147177,2,ERS1147177,Sample 26,,,,Pseudomonas syringae DC3001,,,,,,,,,,,,
ERR1406279,RNA-Seq,101,2904132790,PRJEB13938,SAMEA3960044,2083907108,Functional Genomics Center Zurich,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERX1477515,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2016-06-06T00:00:00Z,SAMEA3960044,ERP015521,Col-0,Sample 27,E-MTAB-4683:Sample 27,ArrayExpress,ERC000011,2016-06-05,2018-11-16,Sphingomonas melonis Fr1 colonization,Institute of Microbiology ETH Zurich,2016-06-05T17:01:42Z,2016-05-09T16:55:40Z,public,rosette leaf,Arabidopsis thaliana,3,ERS1147178,2,ERS1147178,Sample 27,,,,Pseudomonas syringae DC3002,,,,,,,,,,,,
ERR1406280,RNA-Seq,101,3856541681,PRJEB13938,SAMEA3960045,2817186999,Functional Genomics Center Zurich,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERX1477516,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2016-06-06T00:00:00Z,SAMEA3960045,ERP015521,Col-0,Sample 28,E-MTAB-4683:Sample 28,ArrayExpress,ERC000011,2016-06-05,2018-11-16,Sphingomonas melonis Fr1 colonization,Institute of Microbiology ETH Zurich,2016-06-05T17:01:42Z,2016-05-09T16:55:41Z,public,rosette leaf,Arabidopsis thaliana,4,ERS1147179,2,ERS1147179,Sample 28,,,,Pseudomonas syringae DC3003,,,,,,,,,,,,
ERR1406281,RNA-Seq,101,3925184210,PRJEB13938,SAMEA3960047,2804160892,Functional Genomics Center Zurich,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERX1477517,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2016-06-06T00:00:00Z,SAMEA3960047,ERP015521,Col-0,Sample 29,E-MTAB-4683:Sample 29,ArrayExpress,ERC000011,2016-06-05,2018-11-16,Sphingomonas melonis Fr1 colonization,Institute of Microbiology ETH Zurich,2016-06-05T17:01:42Z,2016-05-09T16:55:41Z,public,rosette leaf,Arabidopsis thaliana,1,ERS1147181,7,ERS1147181,Sample 29,,,,Pseudomonas syringae DC3004,,,,,"Protocols: Arabidopsis thaliana Col-0 were grown in a gnotobiotic microbox system as described in Innerebner et al. 2011. Briefly\, microboxes containing 70 ml MS medium including vitamins (Duchefa) supplemented with 3% sucrose and 0.55% plant agar (Duc...",,,,,,,
ERR1406282,RNA-Seq,101,3270186282,PRJEB13938,SAMEA3960048,2379146435,Functional Genomics Center Zurich,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERX1477518,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2016-06-06T00:00:00Z,SAMEA3960048,ERP015521,Col-0,Sample 3,E-MTAB-4683:Sample 3,ArrayExpress,ERC000011,2016-06-05,2018-11-16,10 mM MgCl2,Institute of Microbiology ETH Zurich,2016-06-05T17:01:42Z,2016-05-09T16:55:41Z,public,rosette leaf,Arabidopsis thaliana,3,ERS1147182,2,ERS1147182,Sample 3,,,,,,,,,,,,,,,,
ERR1406284,RNA-Seq,101,3685403443,PRJEB13938,SAMEA3960049,2621284610,Functional Genomics Center Zurich,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERX1477519,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2016-06-06T00:00:00Z,SAMEA3960049,ERP015521,Col-0,Sample 30,E-MTAB-4683:Sample 30,ArrayExpress,ERC000011,2016-06-05,2018-11-16,Sphingomonas melonis Fr1 colonization,Institute of Microbiology ETH Zurich,2016-06-05T17:01:42Z,2016-05-09T16:55:41Z,public,rosette leaf,Arabidopsis thaliana,2,ERS1147183,7,ERS1147183,Sample 30,,,,Pseudomonas syringae DC3000,,,,,,,,,,,,
ERR1406285,RNA-Seq,101,3089768164,PRJEB13938,SAMEA3960050,2269359761,Functional Genomics Center Zurich,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERX1477520,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2016-06-06T00:00:00Z,SAMEA3960050,ERP015521,Col-0,Sample 31,E-MTAB-4683:Sample 31,ArrayExpress,ERC000011,2016-06-05,2018-11-16,Sphingomonas melonis Fr1 colonization,Institute of Microbiology ETH Zurich,2016-06-05T17:01:42Z,2016-05-09T16:55:41Z,public,rosette leaf,Arabidopsis thaliana,3,ERS1147184,7,ERS1147184,Sample 31,,,,Pseudomonas syringae DC3000,,,,,"Protocols: Arabidopsis thaliana Col-0 were grown in a gnotobiotic microbox system as described in Innerebner et al. 2011. Briefly\, microboxes containing 70 ml MS medium including vitamins (Duchefa) supplemented with 3% sucrose and 0.55% plant agar (Duc...",,,,,,,
