Genes	min	max	gen_len
AT1G02210	427548	427811	264
AT1G02220	428902	430567	1666
AT1G02230	435174	436775	1602
AT1G02250	437951	439559	1609
AT1G02260	440757	442459	1703
AT1G02270	443301	446197	2897
AT1G02280	448665	450246	1582
AT1G02290	450646	451977	1332
AT1G02300	453288	455376	2089
AT1G02305	455816	457974	2159
AT1G02310	458243	460712	2470
AT1G02320	461828	461974	147
AT1G02330	462202	463521	1320
AT1G02335	463979	464876	898
AT1G02340	465933	467685	1753
AT1G02350	469818	470693	876
AT1G02360	472138	473272	1135
AT1G02370	474516	476383	1868
AT1G02380	477814	478850	1037
AT1G02390	480921	483163	2243
AT1G02400	486964	489391	2428
AT1G02405	490093	490497	405
AT1G02410	491300	492762	1463
AT1G02420	493683	495158	1476
AT1G02430	495175	496062	888
AT1G02440	496586	497479	894
AT1G02450	498052	498480	429
AT1G02460	504897	507099	2203
AT1G02470	511916	513573	1658
AT1G02475	514110	515331	1222
AT1G02490	516618	516734	117
AT1G02500	519037	520218	1182
AT1G02510	520687	521626	940
AT1G02520	524134	528745	4612
AT1G02530	529836	534542	4707
AT1G02540	534827	535699	873
AT1G02550	536483	537211	729
AT1G02560	538000	539805	1806
AT1G02570	541380	542216	837
AT1G02575	543153	543983	831
AT1G02580	544796	548994	4199
AT1G02590	552138	552761	624
AT1G02610	553181	555854	2674
AT1G02620	557092	557668	577
AT1G02630	561007	562382	1376
AT1G02640	564293	567580	3288
AT1G02650	568704	570418	1715
AT1G02660	572187	574746	2560
AT1G02670	576046	580299	4254
AT1G02680	581084	581919	836
AT1G02690	584397	587036	2640
AT1G02700	588367	589232	866
AT1G02705	589584	590406	823
AT1G02710	589706	589996	291
AT1G02720	592115	593200	1086
AT1G02730	594697	598473	3777
AT1G02740	599734	602021	2288
AT1G02750	602673	604134	1462
AT1G02770	605071	606624	1554
AT1G02780	608120	609391	1272
AT1G02790	610681	612225	1545
AT1G02800	613386	616103	2718
AT1G02810	618284	620333	2050
AT1G02813	620773	621222	450
AT1G02816	621637	622137	501
AT1G02820	623933	624304	372
AT1G02830	625145	625608	464
AT1G02840	626918	629583	2666
AT1G02850	630569	633085	2517
AT1G02860	635474	637083	1610
AT1G02870	637401	638603	1203
AT1G02880	643063	644485	1423
AT1G02890	645372	651797	6426
AT1G02900	653976	654338	363
AT1G02910	655749	658125	2377
AT1G02920	658886	659705	820
AT1G02930	661363	662191	829
AT1G02940	663079	664277	1199
AT1G02950	665308	666456	1149
AT1G02960	667002	669773	2772
AT1G02965	671661	672814	1154
AT1G02970	673408	676127	2720
AT1G02980	677869	681212	3344
AT1G02990	681724	686996	5273
AT1G03000	688057	692453	4397
AT1G03010	693480	696188	2709
AT1G03020	698207	698515	309
AT1G03030	701621	703568	1948
AT1G03040	704279	706457	2179
AT1G03050	707726	709860	2135
AT1G03055	710102	711763	1662
AT1G03060	712971	726891	13921
AT1G03070	730148	731379	1232
AT1G03080	731794	737332	5539
AT1G03090	739715	743819	4105
AT1G03100	744026	746407	2382
AT1G03103	747219	747955	737
AT1G03106	748442	748639	198
AT1G03110	749359	751796	2438
AT1G03120	752271	753140	870
AT1G03130	753528	754142	615
AT1G03140	754471	756223	1753
AT1G03150	756461	758441	1981
AT1G03160	761321	766053	4733
AT1G03165	766363	767324	962
AT1G03170	769805	770527	723
AT1G03180	773543	775179	1637
AT1G03190	775822	779863	4042
AT1G03200	780755	781124	370
AT1G03210	782948	784240	1293
AT1G03220	787143	788444	1302
AT1G03230	790110	791414	1305
AT1G03240	792418	792838	421
AT1G03250	793576	795159	1584
AT1G03260	795678	798102	2425
AT1G03270	799191	802436	3246
AT1G03280	803635	806758	3124
AT1G03290	807970	810680	2711
AT1G03300	811033	813086	2054
AT1G03310	813975	816623	2649
AT1G03320	817027	817767	741
AT1G03325	817053	817178	126
AT1G03330	818161	819297	1137
AT1G03340	819712	821227	1516
AT1G03350	822834	824246	1413
AT1G03360	824653	826179	1527
AT1G03365	827182	830191	3010
AT1G03370	830968	834996	4029
AT1G03380	836155	840362	4208
AT1G03390	841033	842418	1386
AT1G03395	841738	842158	421
AT1G03400	842895	844158	1264
AT1G03410	844782	846574	1793
AT1G03430	848159	849235	1077
AT1G03440	852681	853874	1194
AT1G03445	854653	859599	4947
AT1G03457	861109	864019	2911
AT1G03470	866217	867493	1277
AT1G03475	869302	871175	1874
AT1G03490	871874	872906	1033
AT1G03495	873436	874476	1041
AT1G03510	876258	877547	1290
AT1G03520	877948	879553	1606
AT1G03530	880638	883338	2701
AT1G03540	883782	885611	1830
AT1G03550	885851	887778	1928
AT1G03560	890428	892410	1983
AT1G03590	894480	896257	1778
AT1G03600	898916	899440	525
AT1G03610	901304	902672	1369
AT1G03620	904319	906367	2049
AT1G03630	907699	909245	1547
AT1G03650	910249	911103	855
AT1G03660	911436	911759	324
AT1G03670	914222	916222	2001
AT1G03680	916990	917865	876
AT1G03687	918308	920306	1999
AT1G03700	921038	921844	807
AT1G03710	923492	924287	796
AT1G03720	924996	926373	1378
AT1G03730	931017	931520	504
AT1G03740	934055	936792	2738
AT1G03750	937920	941068	3149
AT1G03760	941211	943320	2110
AT1G03770	944772	947431	2660
AT1G03780	947555	951696	4142
AT1G03790	954589	955770	1182
AT1G03800	957261	957998	738
AT1G03810	958759	959609	851
AT1G03820	960008	960676	669
AT1G03830	962128	966622	4495
AT1G03840	967596	970058	2463
AT1G03850	976349	977685	1337
AT1G03860	979611	981157	1547
AT1G03870	982625	983368	744
AT1G03880	985786	987916	2131
AT1G03890	989250	990908	1659
AT1G03900	991252	992852	1601
AT1G03905	993478	995594	2117
AT1G03910	996432	1000231	3800
AT1G03920	1001473	1004240	2768
AT1G03930	1005439	1008118	2680
AT1G03940	1009542	1010951	1410
AT1G03950	1011388	1013212	1825
AT1G03960	1014085	1017472	3388
AT1G03970	1018237	1019049	813
AT1G03980	1019311	1021871	2561
AT1G03982	1022424	1023136	713
AT1G03990	1024847	1027616	2770
AT1G04000	1028415	1028873	459
AT1G04010	1031703	1036128	4426
AT1G04020	1036610	1040045	3436
AT1G04030	1040597	1042313	1717
AT1G04040	1042564	1043819	1256
AT1G04050	1045967	1049196	3230
AT1G04070	1050832	1051116	285
AT1G04080	1051803	1056550	4748
AT1G04090	1057225	1059247	2023
AT1G04100	1059809	1061026	1218
AT1G04105	1059730	1060348	619
AT1G04110	1061457	1063784	2328
AT1G04120	1064848	1070396	5549
AT1G04130	1073465	1075374	1910
AT1G04140	1075984	1080321	4338
AT1G04150	1081208	1084246	3039
AT1G04160	1086495	1096146	9652
AT1G04170	1097423	1099702	2280
AT1G04180	1104623	1105988	1366
AT1G04190	1106617	1108557	1941
AT1G04200	1109676	1113875	4200
AT1G04210	1114696	1119383	4688
AT1G04220	1119853	1122483	2631
AT1G04230	1125576	1127828	2253
AT1G04240	1128564	1129619	1056
AT1G04250	1136382	1138340	1959
AT1G04260	1140749	1141297	549
AT1G04270	1141852	1142960	1109
AT1G04280	1143643	1146541	2899
AT1G04290	1147721	1148352	632
AT1G04300	1148818	1153895	5078
AT1G04310	1155116	1157125	2010
AT1G04330	1161584	1161886	303
AT1G04340	1163345	1164737	1393
AT1G04350	1165296	1166538	1243
AT1G04360	1167507	1168652	1146
AT1G04370	1175177	1175578	402
AT1G04380	1177142	1178384	1243
AT1G04390	1179678	1183615	3938
AT1G04400	1185719	1187901	2183
AT1G04410	1189418	1191267	1850
AT1G04420	1191634	1193699	2066
AT1G04430	1198860	1201301	2442
AT1G04440	1202815	1205664	2850
AT1G04445	1207338	1207862	525
AT1G04450	1209006	1209853	848
AT1G04455	1210269	1210622	354
AT1G04470	1211177	1214591	3415
AT1G04480	1216110	1217257	1148
AT1G04490	1218020	1219325	1306
AT1G04500	1221757	1224235	2479
AT1G04510	1226749	1230592	3844
AT1G04520	1231852	1233787	1936
AT1G04530	1234456	1235895	1440
AT1G04540	1237256	1239061	1806
AT1G04550	1240582	1241810	1229
AT1G04555	1242743	1243949	1207
AT1G04560	1245070	1245888	819
AT1G04570	1246859	1248600	1742
AT1G04580	1252212	1257510	5299
AT1G04590	1258760	1261411	2652
AT1G04600	1262123	1272376	10254
AT1G04610	1279524	1281331	1808
AT1G04620	1282869	1286492	3624
AT1G04625	1287831	1289820	1990
AT1G04630	1289921	1290986	1066
AT1G04635	1291350	1291805	456
AT1G04640	1292541	1293248	708
AT1G04645	1293853	1294239	387
AT1G04650	1294893	1298903	4011
AT1G04660	1300668	1301306	639
AT1G04670	1301985	1302532	548
AT1G04680	1304052	1307780	3729
AT1G04690	1313662	1315420	1759
AT1G04700	1316919	1320653	3735
AT1G04710	1321941	1324556	2616
AT1G04730	1325385	1331086	5702
AT1G04750	1331857	1333426	1570
AT1G04760	1334760	1336070	1311
AT1G04770	1336564	1337767	1204
AT1G04778	1339947	1340117	171
AT1G04780	1340891	1342965	2075
AT1G04790	1345469	1348143	2675
AT1G04800	1348635	1349237	603
AT1G04810	1350304	1355261	4958
AT1G04820	1356421	1358266	1846
AT1G04830	1358782	1361844	3063
AT1G04840	1362867	1364962	2096
AT1G04850	1365311	1368706	3396
AT1G04860	1369306	1372290	2985
AT1G04870	1373485	1375598	2114
AT1G04880	1376106	1378264	2159
AT1G04890	1381116	1382546	1431
AT1G04895	1383008	1383422	415
AT1G04900	1383912	1387561	3650
AT1G04910	1388101	1391074	2974
AT1G04920	1391674	1395756	4083
AT1G04930	1396546	1398988	2443
AT1G04940	1399588	1400616	1029
AT1G04945	1399588	1402651	3064
AT1G04950	1403606	1407184	3579
AT1G04960	1408021	1410673	2653
AT1G04970	1411216	1413431	2216
AT1G04980	1413869	1416120	2252
AT1G04985	1416563	1418291	1729
AT1G04990	1419368	1421454	2087
AT1G05000	1425660	1428393	2734
AT1G05005	1429048	1430056	1009
AT1G05010	1431419	1432695	1277
AT1G05020	1435384	1437345	1962
AT1G05030	1438324	1441385	3062
AT1G05035	1444983	1446116	1134
AT1G05040	1447758	1448448	691
AT1G05055	1448913	1450852	1940
AT1G05060	1451255	1452858	1604
AT1G05065	1454969	1455220	252
AT1G05070	1457172	1458531	1360
AT1G05080	1459091	1460579	1489
AT1G05085	1460988	1461670	683
AT1G05087	1463202	1464119	918
AT1G05090	1464288	1465622	1335
AT1G05100	1469679	1470698	1020
AT1G05120	1471624	1476196	4573
AT1G05136	1478923	1479063	141
AT1G05140	1482681	1484006	1326
AT1G05150	1484280	1486706	2427
AT1G05160	1487640	1489828	2189
AT1G05170	1491460	1493931	2472
AT1G05180	1498357	1501775	3419
AT1G05190	1502515	1503738	1224
AT1G05200	1505642	1509002	3361
AT1G05205	1509352	1510249	898
AT1G05210	1510469	1511485	1017
AT1G05220	1511943	1512656	714
AT1G05230	1513388	1517024	3637
AT1G05240	1521202	1522447	1246
AT1G05250	1525924	1527169	1246
AT1G05260	1529827	1531271	1445
AT1G05270	1531806	1534305	2500
AT1G05280	1535079	1537414	2336
AT1G05290	1539152	1540546	1395
AT1G05291	1541348	1542323	976
AT1G05300	1545258	1547709	2452
AT1G05310	1550615	1552434	1820
AT1G05320	1554856	1557658	2803
AT1G05330	1558170	1558583	414
AT1G05340	1559079	1559646	568
AT1G05350	1560891	1564005	3115
AT1G05360	1564816	1567278	2463
AT1G05370	1569418	1572280	2863
AT1G05380	1577231	1582190	4960
AT1G05385	1582747	1583648	902
AT1G05400	1584746	1585244	499
AT1G05410	1585504	1587268	1765
AT1G05420	1590025	1590753	729
AT1G05430	1594227	1595731	1505
AT1G05440	1596374	1597870	1497
AT1G05450	1600004	1601090	1087
AT1G05460	1601357	1604658	3302
AT1G05470	1608558	1611291	2734
AT1G05490	1618795	1623195	4401
AT1G05500	1625098	1628940	3843
AT1G05510	1629527	1630690	1164
AT1G05520	1631126	1635703	4578
AT1G05530	1636496	1637863	1368
AT1G05540	1639348	1640707	1360
AT1G05550	1641229	1643748	2520
AT1G05560	1645674	1647233	1560
AT1G05570	1647880	1658677	10798
AT1G05575	1661829	1662098	270
AT1G05577	1662643	1664288	1646
AT1G05580	1665594	1668794	3201
AT1G05590	1669871	1671686	1816
AT1G05600	1672161	1673675	1515
AT1G05610	1673895	1675934	2040
AT1G05615	1677507	1678270	764
AT1G05620	1679286	1681527	2242
AT1G05630	1682483	1687153	4671
AT1G05640	1687436	1689501	2066
AT1G05650	1690264	1692126	1863
AT1G05660	1694286	1696058	1773
AT1G05670	1698574	1700799	2226
AT1G05675	1701213	1702715	1503
AT1G05680	1703196	1704639	1444
AT1G05690	1707809	1709132	1324
AT1G05700	1709796	1713245	3450
AT1G05710	1716198	1717023	826
AT1G05720	1717677	1718849	1173
AT1G05730	1719107	1720159	1053
AT1G05740	1720674	1721309	636
AT1G05750	1721523	1723025	1503
AT1G05760	1723797	1724512	716
AT1G05770	1725547	1726250	704
AT1G05780	1726761	1728180	1420
AT1G05783	1728658	1729575	918
AT1G05785	1730981	1732406	1426
AT1G05790	1733039	1737365	4327
AT1G05800	1741204	1742619	1416
AT1G05805	1744843	1747427	2585
AT1G05810	1748305	1749350	1046
AT1G05820	1749776	1753767	3992
AT1G05830	1754452	1761225	6774
AT1G05835	1762248	1762702	455
AT1G05840	1762843	1766150	3308
AT1G05850	1766833	1768117	1285
AT1G05860	1769061	1770349	1289
AT1G05870	1772454	1773228	775
AT1G05880	1775655	1778330	2676
AT1G05890	1779631	1784166	4536
AT1G05894	1784831	1786204	1374
AT1G05900	1786896	1789502	2607
AT1G05910	1790796	1796503	5708
AT1G05920	1797044	1797991	948
AT1G05930	1799418	1800933	1516
AT1G05940	1801365	1803942	2578
AT1G05950	1804573	1807471	2899
AT1G05960	1808478	1815060	6583
AT1G05970	1816253	1816991	739
AT1G05990	1818588	1819040	453
AT1G06000	1820495	1821802	1308
AT1G06010	1823347	1823670	324
AT1G06020	1824548	1826101	1554
AT1G06030	1826880	1828130	1251
AT1G06040	1828662	1829659	998
AT1G06045	1829522	1829865	344
AT1G06050	1830726	1831667	942
AT1G06060	1833071	1834516	1446
AT1G06070	1835201	1837116	1916
AT1G06080	1843661	1846093	2433
AT1G06090	1847921	1849500	1580
AT1G06100	1851530	1853019	1490
AT1G06110	1853237	1854938	1702
AT1G06120	1855963	1857516	1554
AT1G06130	1858034	1860640	2607
AT1G06135	1862307	1862516	210
AT1G06137	1863544	1863750	207
AT1G06140	1864796	1866472	1677
AT1G06143	1867129	1868862	1734
AT1G06148	1875301	1877150	1850
AT1G06150	1869228	1873194	3967
AT1G06160	1883046	1883780	735
AT1G06170	1885146	1886564	1419
AT1G06180	1889510	1891089	1580
AT1G06190	1892467	1894078	1612
AT1G06200	1894604	1896963	2360
AT1G06210	1897567	1898986	1420
AT1G06220	1900524	1904583	4060
AT1G06225	1905975	1906226	252
AT1G06230	1907626	1910183	2558
AT1G06240	1911166	1912875	1710
AT1G06250	1913339	1914850	1512
AT1G06260	1916449	1917585	1137
AT1G06270	1918242	1919273	1032
AT1G06280	1920327	1920947	621
AT1G06290	1922423	1926002	3580
AT1G06310	1926802	1930227	3426
AT1G06320	1930602	1931449	848
AT1G06330	1931671	1932353	683
AT1G06340	1933583	1933987	405
AT1G06350	1935510	1936789	1280
AT1G06360	1939173	1940465	1293
AT1G06380	1945124	1945888	765
AT1G06390	1946860	1950417	3558
AT1G06400	1951089	1952686	1598
AT1G06410	1955413	1958153	2741
AT1G06420	1958987	1959652	666
AT1G06430	1960214	1962525	2312
AT1G06440	1963733	1964905	1173
AT1G06450	1965924	1967006	1083
AT1G06460	1967308	1969414	2107
AT1G06470	1970726	1973540	2815
AT1G06475	1973992	1974273	282
AT1G06490	1978762	1989295	10534
AT1G06500	1990176	1990586	411
AT1G06510	1992389	1993583	1195
AT1G06515	1990951	1991968	1018
AT1G06520	1994170	1996067	1898
AT1G06530	2001625	2002596	972
AT1G06540	2002908	2003393	486
AT1G06550	2003834	2006564	2731
AT1G06560	2007660	2011824	4165
AT1G06570	2012015	2013543	1529
AT1G06580	2014440	2015942	1503
AT1G06590	2016504	2024505	8002
AT1G06620	2025618	2027094	1477
AT1G06630	2028044	2031173	3130
AT1G06640	2032366	2033775	1410
AT1G06645	2034190	2035499	1310
AT1G06650	2035909	2037186	1278
AT1G06660	2037461	2040148	2688
AT1G06670	2040567	2047333	6767
AT1G06680	2047940	2049186	1247
AT1G06690	2049742	2052039	2298
AT1G06700	2052750	2054552	1803
AT1G06710	2056999	2060242	3244
AT1G06720	2060615	2067281	6667
AT1G06730	2067633	2070049	2417
AT1G06740	2071194	2073374	2181
AT1G06750	2073882	2076350	2469
AT1G06760	2076687	2077616	930
AT1G06770	2079222	2081707	2486
AT1G06780	2083689	2086853	3165
AT1G06790	2087645	2089287	1643
AT1G06800	2089538	2091443	1906
AT1G06810	2091738	2092528	791
AT1G06820	2093145	2096220	3076
AT1G06830	2097189	2097488	300
AT1G06840	2097854	2103208	5355
AT1G06850	2105233	2106518	1286
AT1G06870	2108832	2110642	1811
AT1G06890	2111585	2114038	2454
AT1G06900	2115155	2120635	5481
AT1G06910	2121099	2122914	1816
AT1G06920	2124854	2125801	948
AT1G06923	2126802	2127398	597
AT1G06925	2127704	2128611	908
AT1G06930	2129163	2129672	510
AT1G06950	2130303	2135563	5261
AT1G06960	2135930	2137533	1604
AT1G06970	2138109	2140818	2710
AT1G06980	2143248	2143757	510
AT1G06990	2148393	2150009	1617
AT1G07000	2150398	2152305	1908
AT1G07010	2152949	2154968	2020
AT1G07020	2155319	2155884	566
AT1G07025	2157658	2158158	501
AT1G07030	2158631	2160524	1894
AT1G07040	2161225	2163035	1811
AT1G07050	2164327	2165133	807
AT1G07060	2166655	2168397	1743
AT1G07070	2168652	2169703	1052
AT1G07080	2170069	2171861	1793
AT1G07090	2174202	2174792	591
AT1G07110	2178363	2183980	5618
AT1G07120	2184874	2186580	1707
AT1G07130	2187928	2188410	483
AT1G07135	2190157	2190624	468
AT1G07140	2192360	2193688	1329
AT1G07150	2193983	2195778	1796
AT1G07160	2198155	2199678	1524
AT1G07170	2200686	2201018	333
AT1G07175	2202382	2203122	741
AT1G07180	2204414	2206773	2360
AT1G07190	2208013	2208177	165
AT1G07200	2209033	2212316	3284
AT1G07210	2215320	2216668	1349
AT1G07220	2217073	2219379	2307
AT1G07230	2220509	2222778	2270
AT1G07240	2223889	2225331	1443
AT1G07250	2225963	2227402	1440
AT1G07260	2227748	2229178	1431
AT1G07270	2229757	2232897	3141
AT1G07280	2238505	2240991	2487
AT1G07290	2242284	2244428	2145
AT1G07300	2245914	2247005	1092
AT1G07310	2247775	2248833	1059
AT1G07320	2249190	2250189	1000
AT1G07330	2251131	2253585	2455
AT1G07340	2254873	2256712	1840
AT1G07350	2257732	2260101	2370
AT1G07360	2260562	2262795	2234
AT1G07370	2263204	2264382	1179
AT1G07380	2264829	2268309	3481
AT1G07390	2269764	2274654	4891
AT1G07400	2275148	2275621	474
AT1G07410	2276270	2277154	885
AT1G07420	2277910	2280033	2124
AT1G07430	2281151	2282656	1506
AT1G07440	2286436	2287665	1230
AT1G07450	2288038	2289256	1219
AT1G07460	2290009	2290977	969
AT1G07470	2291723	2294350	2628
AT1G07473	2294728	2295105	378
AT1G07476	2295805	2296353	549
AT1G07480	2296706	2299215	2510
AT1G07485	2301505	2301892	388
AT1G07490	2301526	2301849	324
AT1G07500	2304783	2305031	249
AT1G07510	2305689	2309380	3692
AT1G07520	2309718	2311808	2091
AT1G07530	2313828	2316137	2310
AT1G07540	2318433	2321048	2616
AT1G07550	2322709	2326512	3804
AT1G07560	2327320	2331096	3777
AT1G07570	2331369	2333210	1842
AT1G07590	2336649	2338481	1833
AT1G07600	2338904	2339321	418
AT1G07610	2341603	2341865	263
AT1G07615	2342277	2344200	1924
AT1G07620	2344556	2346374	1819
AT1G07630	2349189	2351437	2249
AT1G07640	2354707	2356012	1306
AT1G07645	2367612	2368349	738
AT1G07650	2359817	2366423	6607
AT1G07660	2369212	2369523	312
AT1G07670	2370305	2374196	3892
AT1G07680	2376062	2376993	932
AT1G07690	2377983	2379000	1018
AT1G07700	2380214	2381127	914
AT1G07705	2382090	2385856	3767
AT1G07710	2386275	2387986	1712
AT1G07720	2390970	2392535	1566
AT1G07725	2395249	2397096	1848
AT1G07730	2397527	2398696	1170
AT1G07740	2399117	2400496	1380
AT1G07745	2400797	2402842	2046
AT1G07747	2403558	2403845	288
AT1G07750	2404300	2405863	1564
AT1G07770	2408413	2409065	653
AT1G07780	2410352	2411833	1482
AT1G07790	2413049	2413495	447
AT1G07795	2414438	2414794	357
AT1G07810	2416681	2420572	3892
AT1G07820	2421435	2421746	312
AT1G07830	2422549	2423392	844
AT1G07840	2424603	2426425	1823
AT1G07850	2426745	2428719	1975
AT1G07860	2428942	2429431	490
AT1G07870	2428942	2431843	2902
AT1G07880	2434193	2435712	1520
AT1G07885	2436663	2436827	165
AT1G07890	2438005	2439435	1431
AT1G07900	2442624	2443631	1008
AT1G07901	2443971	2444123	153
AT1G07902	2443918	2444883	966
AT1G07910	2446185	2454386	8202
AT1G07920	2455559	2457001	1443
AT1G07930	2459014	2460458	1445
AT1G07940	2463350	2464792	1443
AT1G07950	2466061	2467072	1012
AT1G07960	2467681	2468831	1151
AT1G07970	2469528	2472518	2991
AT1G07980	2473523	2474910	1388
AT1G07985	2475508	2475942	435
AT1G07990	2477413	2482898	5486
AT1G08000	2483460	2484564	1105
AT1G08005	2485344	2485511	168
AT1G08010	2486202	2487402	1201
AT1G08030	2489575	2492741	3167
AT1G08035	2494772	2495149	378
AT1G08040	2495507	2497973	2467
AT1G08050	2499088	2501311	2224
AT1G08060	2501981	2510488	8508
AT1G08065	2511788	2513341	1554
AT1G08070	2514374	2516599	2226
AT1G08080	2517022	2518546	1525
AT1G08090	2524139	2525920	1782
AT1G08100	2527268	2529078	1811
AT1G08110	2535463	2537630	2168
AT1G08120	2538678	2538941	264
AT1G08125	2539748	2542230	2483
AT1G08130	2542913	2547815	4903
AT1G08135	2548819	2551473	2655
AT1G08140	2552206	2555074	2869
AT1G08150	2556343	2559074	2732
AT1G08160	2559672	2560337	666
AT1G08165	2561913	2562148	236
AT1G08170	2562941	2563672	732
AT1G08180	2564741	2565076	336
AT1G08190	2567652	2573142	5491
AT1G08200	2574259	2576609	2351
AT1G08210	2577119	2580725	3607
AT1G08220	2581574	2583288	1715
AT1G08230	2583715	2586700	2986
AT1G08250	2588994	2590235	1242
AT1G08260	2590944	2606892	15949
AT1G08270	2606848	2607337	490
AT1G08280	2608408	2609604	1197
AT1G08290	2610680	2613180	2501
AT1G08300	2614774	2618823	4050
AT1G08310	2619134	2620338	1205
AT1G08315	2620500	2621477	978
AT1G08320	2622113	2627451	5339
AT1G08340	2631308	2632669	1362
AT1G08350	2632970	2635605	2636
AT1G08360	2636231	2637694	1464
AT1G08370	2638355	2640367	2013
AT1G08380	2641004	2641739	736
AT1G08390	2642220	2643103	884
AT1G08400	2643348	2646005	2658
AT1G08410	2646307	2649106	2800
AT1G08420	2649959	2656564	6606
AT1G08430	2658800	2661029	2230
AT1G08440	2663027	2665343	2317
AT1G08450	2668008	2671800	3793
AT1G08460	2672527	2674469	1943
AT1G08465	2676033	2679382	3350
AT1G08470	2682262	2683977	1716
AT1G08480	2684340	2685395	1056
AT1G08490	2685980	2688547	2568
AT1G08500	2689110	2689881	772
AT1G08510	2691546	2693409	1864
AT1G08520	2696538	2700819	4282
AT1G08530	2701252	2702952	1701
AT1G08540	2703461	2706696	3236
AT1G08550	2707462	2709387	1926
AT1G08560	2709778	2710710	933
AT1G08570	2713059	2714312	1254
AT1G08580	2715296	2716351	1056
AT1G08590	2718859	2721948	3090
AT1G08600	2724562	2733431	8870
AT1G08610	2733788	2735467	1680
AT1G08620	2737512	2743370	5859
AT1G08630	2743948	2745685	1738
AT1G08640	2748714	2751209	2496
AT1G08645	2751813	2752595	783
